Source,Section,URL,Category,Notes,Fetch

Mormonr,ces-letter-background,https://mormonr.org/qnas/6ULsTb/ces_letter,hub,CES Letter overview page with timeline and refutation links
Mormonr,first-vision,https://mormonr.org/qnas/kMuNM/multiple_accounts_of_the_first_vision,hub,Multiple accounts of the First Vision
Mormonr,kinderhook-plates,https://mormonr.org/qnas/a9l1T/the_kinderhook_plates,hub,The Kinderhook Plates
Mormonr,polygamy-polyandry,https://mormonr.org/qnas/VvSJBb/polygamy_joseph_smith_era,hub,Joseph Smith-era polygamy
Mormonr,book-of-abraham,https://mormonr.org/qnas/Rqa6Tb/book_of_abraham_translation,hub,Book of Abraham translation
Mormonr,witnesses,https://mormonr.org/qnas/0Eiiyt,hub,Book of Mormon Witnesses

FAIR Brief,book-of-mormon,https://www.fairlatterdaysaints.org/answers/Book_of_Mormon_in_the_CES_Letter,comprehensive,Brief response — Book of Mormon
FAIR Brief,book-of-mormon-translation,https://www.fairlatterdaysaints.org/answers/Book_of_Mormon_Translation_in_the_CES_Letter,comprehensive,Brief response — Book of Mormon Translation
FAIR Brief,first-vision,https://www.fairlatterdaysaints.org/answers/First_Vision_in_the_CES_Letter,comprehensive,Brief response — First Vision
FAIR Brief,book-of-abraham,https://www.fairlatterdaysaints.org/answers/Book_of_Abraham_in_the_CES_Letter,comprehensive,Brief response — Book of Abraham
FAIR Brief,polygamy-polyandry,https://www.fairlatterdaysaints.org/answers/Polygamy_and_Polyandry_in_the_CES_Letter,comprehensive,Brief response — Polygamy & Polyandry
FAIR Brief,prophets,https://www.fairlatterdaysaints.org/answers/Prophets_in_the_CES_Letter,comprehensive,Brief response — Prophets
FAIR Brief,kinderhook-plates,https://www.fairlatterdaysaints.org/answers/Kinderhook_Plates_%26_Translator_Claims_in_the_CES_Letter,comprehensive,Brief response — Kinderhook Plates
